surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence
しれ,シレ,shire,動詞-一般,1,inform,"To inform or notify someone about something, often used in contexts where information is being passed on or communicated.",彼に真実をしれ。
しゃべり,シャベリ,shaberi,名詞-普通名詞-一般,1,talk,"The word 『しゃべり』 refers to the act of talking or chatting. It is commonly used to describe casual, informal conversation.",彼女のしゃべりはとても上手だ。
しゃ,シャ,sha,記号-一般,1,sha,"The character 'しゃ' serves as a romanized representation of the Japanese sound 'sha', which can be part of a larger word or used onomatopoeically.",彼は「しゃ」と言った。
しめる,シメル,shimeru,助動詞,1,to close,"In its auxiliary verb form, しめる can be used to indicate the completion of an action or the state of being in Japanese. It is often used in combination with other verbs to express concepts such as 'completely' or 'thoroughly'.",ドアをしめるように言われた。
しでかし,シデカシ,shidekashi,動詞-一般,1,commit,"To perform or commit an action, often with a negative connotation, such as making a mistake or causing trouble inadvertently.",彼はまた大きな失敗をしでかしてしまった。
しっかり,シッカリ,shikkari,副詞,1,firmly,"The word 'しっかり' means 'firmly' or 'steadily' and can also imply being reliable, solid, or thorough in a given context. It can be used to describe actions done with firmness or in a reliable manner.",彼はしっかり勉強しています。
しちめん,シチメン,shichimen,名詞-普通名詞-一般,1,bore,"The word 'しちめん' refers to a tedious or monotonous situation, often used to describe something or someone that is dull or boring.",その会議はしちめんだったので、眠くなってしまった。
しかも,シカモ,shikamo,接続詞,1,moreover,Used to add information that is surprising or goes beyond what has been stated. It can also imply something additional or another layer to the context.,彼は非常に勤勉で、しかも創造的だ。
しかた,シカタ,shikata,名詞-普通名詞-一般,1,way,"A means or method for doing something. Often used to refer to a manner or approach, and commonly used in phrases like 'no way to do something' or 'unavoidable'.",彼にはしかたがない。
さみしかっ,サミシカッ,samishikatsu,形容詞-一般,1,lonely,"The word 'さみしかっ' is a conjugated form of the adjective 'さみしい', which means feeling lonely or lonesome, often due to being alone or missing someone.",ひとりでいると、さみしかった。
すっ,スッ,sutsu,副詞,1,swiftly,"The adverb 'すっ' is used to describe something done quickly or neatly, often with a sense of smoothness or efficiency.",彼はすっと立ち上がった。
さっさと,サッサト,sassato,副詞,1,quickly,"Hastily or promptly, suggesting that something should be done without delay.",彼はさっさと仕事を終わらせた。
させ,サセ,sase,助動詞,1,causative,Used to indicate that someone is causing or allowing someone else to do something. It is used to create the causative form of a verb.,彼は彼女にそれをさせた。 (He made her do it.)
さすが,サスガ,sasuga,副詞,1,as expected,"As an adverb, 'さすが' is used to express admiration or acknowledgment that someone or something is living up to expectations. It conveys a sense of 'just as you would expect' or 'indeed'.",さすがプロだね。対応が早い。
さえ,サエ,sae,助詞-副助詞,1,even,"The particle 'さえ' is used to indicate a sense of inclusion in Japanese, akin to 'even' or 'at least' in English. It often implies that if the subject being discussed meets the condition, other things not mentioned are assumed to also meet it, emphasizing extremeness or sufficiency.",彼は水さえ飲まない。
さあ,サー,saa,助詞-終助詞,1,well,"Used at the end of a sentence to indicate hesitation, uncertainty, or to soften a command or suggestion. It can be equivalent to 'well' in English, conveying a sense of consideration or thought.",さあ、行きましょうか。
けり,ケリ,keri,名詞-普通名詞-一般,1,ending,"In classical Japanese literature, 'けり' can denote a finalized or completed action, akin to saying 'was' or 'has been'. It is often used in poetry to indicate a past event or completion.",物語の終わりに『けり』をつけた。
げ,ゲ,ge,接尾辞-形状詞的,1,-like,"The suffix ""げ"" is used in Japanese to indicate a certain appearance or manner. It is often attached to a noun or adjective stem to form an adjective meaning something has the nature or manner of what precedes it, rendered in English as ""-like"" or ""seeming.""",彼は楽しげに微笑んだ。
こいつ,コイツ,koitsu,代名詞,1,this one,"Used informally to refer to a person or thing in close proximity, often with a sense of familiarity or disdain.",こいつは本当にうるさい。
さ,サ,sa,副詞,1,you know,"This adverb is used in casual speech in Japanese to make statements sound more informal, engaging, or expressive, similar to 'you know', 'come on', or 'let me see'. It doesn't have a direct translation but adds a tone of familiarity or emphasis in conversation.",それはさ、本当に面白いね。
ごめん,ゴメン,gomen,名詞-普通名詞-一般,1,sorry,An informal or casual way to say 'sorry' or to apologize in Japanese. It is often used in casual speech among friends or in situations where formality is not required.,遅れてごめん。
ご,ゴ,go,接頭辞,1,honorific,"The prefix 'ご' (go) is used in Japanese to add politeness or respect when referring to someone else's actions, possessions, or status. It is often used with nouns or verbs to make them honorific, showing respect or humility.",ご案内いたします。
こんな,コンナ,konna,連体詞,1,such,"The word 'こんな' is an adnominal adjective or demonstrative adjective in Japanese, meaning 'such' or 'like this.' It is used to modify nouns to describe something that is like the stated example, or to indicate something close to the speaker in a familiar or conversational context.",こんな天気だと外出したくない。
こんな,コンナ,konna,形状詞-一般,1,such,"'Konna' is used to describe something that is of this kind, type, or nature, often referring to something close to the speaker or mentioned in the current context.",こんな天気の日は家にいたい。
すごい,スゴイ,sugoi,形容詞-一般,1,amazing,"In Japanese, ""すごい"" (sugoi) is an adjective used to describe something that is impressive, wonderful, or extraordinary. It can also be used to express surprise or admiration.",この映画は本当にすごいです。
すでに,スデニ,sudeni,副詞,1,already,"Indicates that something has happened or is in place before now; emphasizes that a situation or condition is in effect at the current moment, often unexpectedly or earlier than anticipated.",彼はすでに帰りました。
っつっ,ッツッ,ttsutsu,助動詞,1,is,"A colloquial contraction used in casual speech, primarily in the Kansai dialect or other informal contexts, often equivalent to ""it's"" or ""is"" in English.",それは冗談っつっ。
たって,タッテ,tatte,助詞-接続助詞,1,even if,Used to indicate that something happens or is true even in a certain condition or situation. It conveys a sense of contrast or opposition.,雨が降ったって学校に行く。
ったく,ッタク,ttaku,副詞,1,completely,"A casual and often negative adverb used to express complete frustration, disbelief, or amazement, similar to 'totally' or 'really' in English. Often used in informal settings or conversations.",まったく、信じられない！
っから,ッカラ,kkara,助詞-格助詞,1,from,"The word 'っから' is an informal form of the case particle 'から', which indicates the starting point in terms of time, place, or origin. It is commonly used in casual or colloquial Japanese speech to mean 'from' or 'because'.",彼は学校っから帰った。
ちゅう,チュー,chuu,助動詞,1,middle of,"Used to indicate an action taking place at a certain point or during a certain period of time. Often translated as 'in the midst of', 'in the course of', or 'while'.",彼は勉強中（ちゅう）です。
がら,ガラ,gara,接尾辞-動詞的,1,since,"The Japanese suffix がら (-gara) is used to indicate a cause or reason, similar to 'since', 'because', or 'due to' in English. It is often attached to verbs to explain why something occurs.",彼は病気だったから、学校を休んだ。
ちゃっ,チャッ,chatsu,助動詞,1,must,"This auxiliary verb is an informal or contracted form of ては. It implies a sense of necessity or obligation, similar to ""must"" or ""have to"" in English.",早く帰らなきゃいけちゃっ。
ちゃお,チャオ,chao,助動詞,1,let's,"This auxiliary verb is used to express a suggestion or invitation in a casual or colloquial manner, similar to 'let's' or 'shall we' in English. It often follows a verb stem in casual speech.",一緒に映画を見ちゃおう。
ちゃう,チャウ,chau,助動詞,1,will end up,"In casual Japanese, ""ちゃう"" is a colloquial contraction of ""てしまう."" It is used to express that something is done unintentionally, unexpectedly, or is completed entirely. It often implies regret, completion, or unintended action, similar to 'end up doing' something or 'unfortunately do' something in English.",さっきビールを飲んじゃった。
ちそう,チソー,chisou,名詞-普通名詞-サ変可能,1,feast,"The word 'ちそう' (chisou) refers to a feast or a sumptuous meal, often implying a lavish or celebratory spread of food. It can also express the notion of abundant hospitality or generosity in serving food.",昨日のパーティーで素晴らしいちそうを楽しみました。
だろう,ダロー,darou,助動詞,1,probably,"Used to express conjecture or likelihood, equivalence to 'may', 'might', or 'probably' in English. Often used at the end of a sentence to indicate uncertainty.",明日は雨が降るだろう。
き,キ,ki,動詞-非自立可能,1,does,"The verb 'き' usually appears as part of compound verbs or expressions, indicating an action or state. It may not stand alone but modifies other verbs to convey a particular nuance.",彼は宿題をしきって、すぐに外に遊びに行った。
だぁ,ダ,daa,助動詞,1,is,"An informal or emphatic form of 'is', used as a copula or assertive way of saying 'it's so'. It adds emphasis to the statement, commonly used in casual or colloquial Japanese.",彼は疲れたんだぁ。
たろ,ダロ,taro,助動詞,1,probably,"""たろ"" is a colloquial contraction of ""たろう,"" which is the informal form of ""だろう"". It indicates conjecture or probability, similar to 'probably' or 'I guess' in English. It is often used in casual speech.",明日は雨が降るたろう。
たり,タリ,tari,助詞-副助詞,1,and so on,"The particle 'たり' is used to list actions or states among others, often implying other actions or states not explicitly mentioned. It suggests a non-exhaustive list, similar to saying 'among other things' or 'and so on' in English.",週末は、映画を見たり、本を読んだりしました。
たった,タッタ,tatta,副詞,1,only,"Used to emphasize how small an amount or number is, equivalent to 'just' or 'only.' It is often used to underscore the minimal quantity or insignificance of something.",たった一人でそれをやり遂げた。
け,ケ,ke,名詞-普通名詞-一般,1,hair,"'け' primarily means hair or fur. It is used to refer to individual strands of hair on a body, whether human or animal.",彼女の髪のけはとても長いです。
くだら,クダラ,kudara,動詞-一般,1,leave,"To descend or go down from a higher to a lower level or place; to step down, or to go down the stairs.",駅の階段をくだって、ホームへ行きます。
くっそ,クッソ,kusso,感動詞-一般,1,damn,"An interjection used to express frustration, anger, or annoyance. It can also be used casually among friends in a less serious manner.",くっそ、また負けた！
くっつい,クッツイ,kuttsui,動詞-一般,1,stick,"To adhere or attach something to another object or surface, implying a close contact or connection.",紙が棚にくっついでいる。
そんな,ソンナ,sonna,形状詞-一般,1,such,It refers to something previously mentioned or understood in context and often expresses a degree of disbelief or disdain. It is used to elaborate on the specific nature or manner of an event or entity.,彼はそんなことを言ったの？
くる,クル,kuru,動詞-非自立可能,1,come,"The verb 'くる' (kuru) means 'to come,' indicating movement toward the speaker or a direction of movement toward a reference point, frequently used as an auxiliary verb to imply some change of state or arrival of an action.",彼が家にくる。
そう,ソー,sou,形状詞-助動詞語幹,1,seems,This word is often used to describe when something appears to be or it seems like something. It can be used to express a probable or assumed state.,彼は元気そうに見える。
そ,ソ,so,副詞,1,there,"In English, 'そ' as an adverb often means 'there' indicating a location or position not right next to the speaker but still close enough, similar to 'that place'.",彼はそに座った。
せい,セー,sei,名詞-普通名詞-一般,1,fault,"'Sei' can refer to one's fault, blame, or responsibility for something. It implies that someone is being held accountable for an outcome or situation.",彼のせいで試合に負けた。
せ,セ,se,動詞-非自立可能,1,do,"A non-independent verb often used in constructions to indicate action or performance, usually paired with another verb. Commonly encountered in various conjugations expressing necessity, making, or allowing.",宿題を終わらせてください。
くん,クン,kun,動詞-非自立可能,1,(to) give,"The verb ""くん"" is an auxiliary form that is derived from ""くれる"" which means 'to give' or 'to do something for someone'. It is often used in informal settings, typically as a suffix, to imply a sense of performing an action as a favor towards the person.",おもちゃを買ってくんない？
ぐっ,グッ,gutsu,副詞,1,firmly,"The adverb 'ぐっ' is used to describe doing something firmly, tightly, or with determination. It can also imply something is done suddenly or with a strong grip or hold.",彼はぐっとこらえて泣かなかった。
ぐわ,グワ,guwa,副詞,1,whoosh,"The word 'ぐわ' is an adverb that describes a sudden, quick movement or motion, often used to mimic the sound of something swiftly passing by, similar to 'whoosh' or 'zoom' in English. It conveys a sense of speed or abruptness.",その車はぐわっと通り過ぎた。
すれ,スレ,sure,動詞-非自立可能,1,rub,"In Japanese, すれ (from 擦れる) means to rub against or come into contact with something, often leading to wear or a friction effect.",革靴が床とすれて音がした。
ま,マ,ma,感動詞-フィラー,1,well,"An interjection used as a filler in conversation, similar to 'well' or 'uh' in English, often to express hesitation or to buy time while thinking of what to say next.",ま、それならいいか。
ます,マス,masu,助動詞,1,polite suffix,"The word 'ます' is an auxiliary verb in Japanese used to denote politeness. It conjugates to indicate tense and formality in verbs, often added directly to the stem of a verb to make it polite.",私は本を読みます。
呼ば,ヨバ,yoba,動詞-一般,1,call,"To call or summon someone by name, often used to refer to the action of addressing or referring to someone or something by a certain name or title.",彼は友達を呼ばないといけない。
また,マタ,mata,副詞,1,again,The word 'また' is an adverb which is used to mean 'again' or 'also' in English. It can indicate repetition or addition in a sentence.,彼はまた失敗した。
個,コ,ko,接尾辞-名詞的-助数詞,1,counter,"A counter used for counting individual objects or items. It is one of the counters in Japanese, similar to 'items' or 'things' in English.",リンゴを三個買いました。
価値,カチ,kachi,名詞-普通名詞-一般,1,value,"The importance, worth, or usefulness of something; value can refer to the monetary or intrinsic worth of an object or concept.",その絵は非常に高い価値があります。
例,レー,rei,名詞-普通名詞-一般,1,example,The word '例' means 'example' in English. It is used to illustrate or demonstrate something or to provide a case or instance. It can refer to a model or standard for comparison.,この問題の解き方を例で説明します。
使え,ツカエ,tsukae,動詞-一般,1,use,"The term '使え' is the imperative form of the verb '使う', which means 'to use'. It is a command or directive given to someone to use something.",この道具を使え。
使い,ツカイ,tsukai,動詞-一般,1,use,"The word '使い' (tsukai) is the stem form of the verb '使う' (tsukau), which means 'to use' or 'to employ'. It can refer to utilizing objects, skills, or people.",彼は新しい装置を上手に使い始めた。
作り出す,ツクリダス,tsukuridasu,動詞-一般,1,create,"To create, produce, or bring something into existence. It can imply the act of making something new or generating an idea or object.",彼は新しいアイデアを作り出すのが得意だ。
作ら,ツクラ,tsukura,動詞-一般,1,make,"The verb '作ら' is a conjugated form of '作る' which means 'to make' or 'to create'. It is often used to describe the act of creating something tangible like a product, meal, or object.",彼女はおいしいケーキを作らなければならない。
伏せろ,フセロ,fuse,動詞-一般,1,lie down,"An imperative form of the verb 'to lie down' or 'to get down.' It's often used as a command to quickly assume a prone position, often for safety or concealment.",犬に『伏せろ』と言った。
以来,イライ,irai,名詞-普通名詞-副詞可能,1,since,"以来 (irai) is used to indicate a starting point in time, usually translated as 'since'. It can denote an action or event that has been continuing from a certain point in the past up until now.",彼が日本に来て以来、毎日日本語を勉強しています。
以上,イジョー,ijou,名詞-普通名詞-副詞可能,1,above,The word '以上' can be translated to 'above' or 'more than.' It refers to something being greater than or over a certain amount or level. It can be used in various contexts to imply exceeding a certain threshold or standard.,彼は彼女よりも3インチ以上背が高い。
今晩,コンバン,konban,名詞-普通名詞-副詞可能,1,tonight,The term refers to the time period during the night of the current day. It can be used to denote activities or events taking place in the evening or nighttime hours of the same day.,今日は忙しかったが、今晩はゆっくり休むつもりだ。
今夜,コンヤ,konya,名詞-普通名詞-副詞可能,1,tonight,"Refers to the night of the current day, usually used to describe events or activities happening on the same evening.",今夜は星がたくさん見えます。
今,イマ,ima,名詞-普通名詞-副詞可能,1,now,"The word '今' (ima) is primarily used as a noun meaning 'now' or 'the present time'. It can also function adverbially, modifying verbs to imply actions taking place at the current moment.",今、私は勉強しています。
五,ゴ,go,名詞-数詞,1,five,The Japanese word '五' is a numeral used to represent the number five. It is commonly used in counting and numbering.,彼は五冊の本を持っています。
九,ココノ,kyuu,名詞-数詞,1,nine,The number 9; it is an integer that comes after 8 and before 10.,私は九時に起きました。
中,チュー,naka,接尾辞-名詞的-副詞可能,1,inside,"The word 中 (naka) can be used to mean 'inside' or 'middle' in a spatial context. When used as a suffix, it acts similarly to an adverb, modifying the sense of being 'in the middle of' or 'during' an action.",彼は部屋の中にいます。
並べ,ナラベ,narabe,動詞-一般,1,arrange,"To put things in a specific order or position, or to organize items systematically.",机の上に本を並べた。
上,ウエ,ue,名詞-普通名詞-副詞可能,1,up,"The word '上' can mean 'up', 'above', or 'over', depending on the context. It indicates a position relative to another point, often implying a higher or superior level or position. It can also be used in expressions related to elevation, ranking, or priority.",机の上に本があります。
三,サン,san,名詞-数詞,1,three,The word '三' is a numeral used to represent the quantity of three. It is commonly used in counting and is equivalent to the number three in English.,私は三つのリンゴを持っています。
万,マン,man,名詞-数詞,1,ten thousand,"The Japanese word ""万"" is a numeral meaning ""ten thousand."" It is used in the Japanese numbering system to represent a quantity of 10,000. In a broader sense, ""万"" is often used as a placeholder for large quantities or can imply 'myriad' in certain poetic or literary contexts.",彼は十万ドル持っています。
一応,イチオー,ichiou,名詞-普通名詞-副詞可能,1,tentatively,The word '一応' can mean 'tentatively' or 'for the time being' in the sense of doing something provisionally or in a preliminary manner. It can also be used to indicate that something is done just to be safe or as a precaution.,一応、念のため確認しました。
一,ヒト,ichi,名詞-数詞,1,one,"The word '一' is the numeral for 'one' in Japanese, often used to count objects or indicate the number one. It is the first in numerical order and signifies singularity in quantity.",りんごを一つください。
ン,ン,n,名詞-普通名詞-一般,1,n sound,Refers to the 'n' sound in Japanese. It is a nasal consonant and the only consonant that can appear without a following vowel at the end of a syllable.,日本語の最後のンの音は特別です。
ン,ン,n,助動詞,1,will not,"In informal Japanese, 'ン' is used as the negative auxiliary form of 'ない' to express negation, similar to 'will not' or 'is not going to' in English.",明日は行かん。
倍,バイ,bai,名詞-普通名詞-助数詞可能,1,times,"The word refers to a multiple or a factor indicating how many times something is multiplied. It is commonly used when comparing quantities or magnitudes, as in 'twice,' 'thrice,' etc.",彼のスコアは彼女のスコアの3倍です。
僅か,ワズカ,wazuka,副詞,1,only,The adverb '僅か' translates to 'only' or 'merely'. It is used to indicate a small amount or a minimal degree of something. It emphasizes the small quantity or insignificance of something being referenced.,彼には僅かなお金しかない。 (He has only a little money.)
先,サキ,saki,名詞-普通名詞-副詞可能,1,ahead,Ahead or the front part of something in terms of position or time; also used to indicate a point in the future or someone who is leading in a race or competition.,行き先を決めてください。
努力,ドリョク,doryoku,名詞-普通名詞-サ変可能,1,effort,Effort refers to the physical or mental energy applied to accomplish a task or a goal. It can also imply perseverance and hard work to achieve progress or success.,彼は毎日努力しています。
君,キミ,kun,代名詞,1,you,"The word 君 (kimi) is a second-person pronoun used in informal contexts to refer to 'you'. It is often used by males towards people of the same age or younger, and can carry a friendly or intimate tone. It's less formal than the pronoun あなた (anata).",君はどうするの？
名前,ナマエ,namae,名詞-普通名詞-一般,1,name,"A term used to identify a person, place, or thing, often providing information or a label for recognition or distinction. In Japanese, 名前 (namae) commonly refers to a person's name.",彼の名前は太郎です。
名付け,ナズケ,nazuke,動詞-一般,1,name,The action of giving someone or something a name; to designate or label by a specific name.,彼は自分の子供をジョンと名付けた。
名乗ん,ナノン,nanori,動詞-一般,1,give one's name,To announce or state one's name; to identify oneself by name.,彼は電話で名乗んだ。
同じ,オナジ,onaji,連体詞,1,same,"'同じ' (onaji) means 'same', indicating something identical or not different when used to describe nouns.",私は彼と同じ本を読みました。
可能,カノー,kanou,形状詞-一般,1,possible,"The word '可能' means 'possible' or 'capable of being achieved, occurring, or existing'. It refers to something that can happen or be done, though it is not certain or guaranteed.",その計画は実行可能です。
口,クチ,kuchi,名詞-普通名詞-一般,1,mouth,"In English, 'mouth' refers to the opening in the face of a person or animal, comprising the lips, teeth, and tongue, through which food is taken and speech is produced. It can also imply an opening or entrance of something.",彼女は大きな口を開けて笑った。
取り戻し,トリモドシ,tori,動詞-一般,1,retrieve,"The verb '取り戻し' means to regain or recover something that was lost, taken, or to return to a previous state or condition.",彼は失った信頼を取り戻した。
千,セン,sen,名詞-数詞,1,thousand,"The number 1,000. Used to denote quantities, similar to how 'thousand' is used in English.",その本は千円です。
化け,バケ,bake,動詞-一般,1,transform,"To change or transform into something else, often used in contexts like disguising or metamorphosing, not necessarily involving supernatural transformation.",彼は狼に化けた。
先代,センダイ,sendai,名詞-普通名詞-一般,1,predecessor,"The previous generation or former person in a position or role, often referring to the former holder of an office, title, or position.",彼は先代の社長でした。
前回,ゼンカイ,zenkai,名詞-普通名詞-副詞可能,1,last time,"Refers to the previous occasion or occurrence, usually in a chronological or sequential sense.",前回の会議では新しいプロジェクトが発表されました。
前々,ゼンゼン,maemae,接頭辞,1,two,"This prefix is used to indicate something happening before or two instances ago, like 'two days before' or 'two months ago.'",彼は前々日に帰ってきた。
前,マエ,mae,名詞-普通名詞-副詞可能,1,front,"The term '前' (mae) refers to the front, or the space before something. It can describe a position or a point in time prior to another, such as 'before' in chronological terms.",家の前に公園があります。
別,ベツ,betsu,名詞-普通名詞-形状詞可能,1,different,The word '別' can mean 'different' or 'separate.' It is used to refer to something being distinct or not the same as something else.,彼とは別の道を選んだ。
初代,ショダイ,shodai,名詞-普通名詞-一般,1,first generation,"Refers to the first in a series or the original model, such as the first generation of a product or the original founding member of a family or group.",この車は初代のモデルです。
分から,ワカラ,waka,動詞-一般,1,understand,"This verb means to comprehend or grasp the meaning, significance, or nature of something. In its base form '分かる' (wakaru), it is often used to indicate understanding or realization in various contexts.",彼の言うことが分からない。
出来,デキ,deki,名詞-普通名詞-一般,1,result,"The term '出来' refers to the result or outcome of a situation or process. It can also mean completion, or the quality of something that has been made or finished.",今回の試験の出来はどうでしたか？
出す,ダス,dasu,動詞-非自立可能,1,take out,"The verb '出す' can mean to take something out, release, or to bring something out into the open. It is often used to describe actions involving moving something from one place to another, especially from inside to outside.",犬を散歩に連れ出す。
全部,ゼンブ,zenbu,名詞-普通名詞-副詞可能,1,all,"The word '全部' translates to 'all' or 'everything' in English. It is used to refer to the entire quantity or collection of something. In an adverbial context, it can also mean 'completely' or 'totally,' indicating full extent or degree.",全部を食べました。
入れる,イレル,ire,動詞-一般,1,put,"To place something into a container, space, or situation. It can also mean to add something or include it.",コーヒーにミルクを入れる。
入れりゃ,イレリャ,ire,動詞-一般,1,put,"Put, place, or insert something into another thing.",お湯を入れりゃすぐにラーメンができる。
ミズキ,ミズキ,mizuki,名詞-固有名詞-人名-名,1,Mizuki,Mizuki is a Japanese given name that can be used for both males and females. It is a common name in Japan and may have different meanings based on the kanji used.,ミズキちゃんは今日も元気だね。
やから,ヤカラ,yakara,名詞-普通名詞-一般,1,group,"A group of people, often used to refer to a gang or rough group. It can imply a group with negative connotations.",あのやからがまた問題を起こしている。
られる,ラレル,rareru,助動詞,1,be able to,"'られる' is a Japanese auxiliary verb used to express passive voice or potential form, which conveys the ability or possibility of performing an action.",彼は早起きされる。
らしく,ラシク,rashiku,助動詞,1,seem,"Used to express an appearance, manner, or supposed identity or to show resemblance.",彼は彼らしく行動した。
より,ヨリ,yori,接尾辞-名詞的-一般,1,than,"A suffix used to indicate comparison, essentially meaning 'than' in English, often used in phrases to compare two things, such as 'XよりY' (Y is more than X).",この映画は前作より面白い。
よせ,ヨセ,yose,動詞-一般,1,Come,To approach or move towards a particular place. It can also mean to join or to include.,人々がひとつの場所に寄せ集まった。
あれ,アレ,are,動詞-非自立可能,1,that,Acts as an auxiliary verb to refer to things distant from both the speaker and listener. It can also function to indicate something that was previously mentioned in conversation or the context.,昨日見た映画はあれが面白かった。
あんた,アンタ,anta,代名詞,1,you,"A casual or informal way to say 'you', often used in informal contexts or when addressing people of equal or lower status.",あんた、本当にその話を信じているの？
あんな,アンナ,anna,形状詞-一般,1,such,"""Anna"" is a demonstrative adjective used to indicate a noun that is at a distance from both the speaker and listener, often conveying a sense like 'such,' 'that kind of,' or 'like that.'",あんな人にはなりたくない。
やん,ヤン,yan,動詞-一般,1,stop,"This verb 'やん' is typically used in the Kansai dialect to express surprise or negation, similar to 'isn't it?', 'right?', or 'come on!' in English. It conveys a sense of disbelief or emphasizes a statement.",そんなこと言うなやん！
やれる,ヤレル,yareru,動詞-非自立可能,1,can do,"The word 'やれる' is the potential form of the verb 'やる', which means 'to do' or 'to perform'. In this form, it indicates the ability or possibility to do something.",彼はそれをやれると思う。
やり,ヤリ,yari,動詞-非自立可能,1,do,'Yari' is a verb that implies doing or executing an action. It can be part of compound verbs indicating efforts or attempts to achieve something.,彼は宿題をやり終えた。
やめ,ヤメ,yame,動詞-一般,1,stop,"'Yame' is a verb in Japanese that conveys the meaning of ceasing or discontinuing an activity or action. It can also mean quitting or leaving something, such as a job or habit.",彼はタバコをやめた。
やっぱ,ヤッパ,yappa,副詞,1,after all,"""やっぱ"" is an informal adverb in Japanese that indicates a conclusion or confirmation, similar to 'after all', 'as expected', or 'in the end' in English. It is often used to express a realization or a return to an original belief after considering other possibilities.",やっぱ、彼が一番上手だ。
い,イ,i,記号-一般,1,i,"The word 'い' serves as a general symbol or character often used in various contexts in the Japanese language. It can be seen in readings of kanji or kana, or used in technical symbols, among other uses.",その文章にはいくつかの記号が含まれていますが、「い」もその一つです。
や,ヤ,ya,助詞-係助詞,1,and/or,"The particle 'や' is used in Japanese to connect two or more items in a list. It implies that the list is not exhaustive, similar to 'and' or 'or' in English, often translated as 'and/or' with the meaning of 'among others' or 'such as'.",机の上に本やペンがあります。
あした,アシタ,ashita,名詞-普通名詞-副詞可能,1,tomorrow,"Refers to the day following the current day, often used as an adverb meaning 'on the day after today'. It can imply expectations or plans for the near future.",明日は学校が休みです。
ゃ,ヤ,ya,記号-一般,1,-,"The character 'ゃ' is a small kana used in Japanese to create contracted sounds when combined with hiragana like き (ki) or し (shi), forming sounds such as きゃ (kya) or しゃ (sha). It is not typically used at the start of sentences and is part of the general symbol category.",きゃべつが好きです。
もん,モン,mon,動詞-一般,1,ask,"'(もん)' is the verb form meaning to ask, inquire, or request information or details. It can be used in casual and informal contexts when seeking answers or explanations.",彼にそのことを尋ねても何も言わなかったもん。
もらえ,モラエ,morae,動詞-非自立可能,1,receive,The verb 'もらえ' is a form of the verb 'もらう' which means 'to receive' or 'to obtain'. It can imply requesting or being given something. It is often used when talking about receiving something from someone or being granted permission.,彼からプレゼントをもらえた。
もっと,モット,motto,副詞,1,more,"Used to indicate a greater degree or quantity, often as an increase over something else.",もっと勉強しなければなりません。
もし,モシ,moshi,副詞,1,if,"Used to express a condition or hypothetical situation, similar to 'if' or 'in case'.",もし雨が降ったら、家にいます。
いきなり,イキナリ,ikinari,副詞,1,suddenly,'Ikinari' means suddenly or unexpectedly. It refers to something happening abruptly or without warning. It's used to describe actions or events that occur without prior notice.,彼はいきなり泣き出した。
いずれ,イズレ,izure,副詞,1,eventually,"The word 'いずれ' can be translated to 'eventually' or 'sooner or later' in English. It is used to indicate something that will happen at some point in the future, without specifying a precise time.",いずれ雨が降り始めるでしょう。
めで,メデ,mede,動詞-一般,1,celebrate,"The verb めで means ""to celebrate,"" ""to bless,"" or ""to regard with affection and happiness."" It is used to express the act of showing joy or honoring a person or occasion.",彼らは彼の成功をめでるために集まった。
まとい,マトイ,matoi,接尾辞-形状詞的,1,mantle,"The word 'まとい' is used as a suffix to describe something that acts as a cover or cloak, often metaphorically. It can imply something that enfolds or envelops, providing a sense of protection or concealment.",彼は悪党たちのまといとなっている。
いたずら,イタズラ,itazura,形状詞-一般,1,mischief,"The word 'いたずら' can be translated as 'mischief' or 'naughty.' It describes actions or behavior that are playful and possibly troublesome, typically done for amusement rather than with harmful intent.",子供たちはいたずらをして先生を困らせました。
まっ,マッ,matsu,動詞-一般,1,wait,"This verb is the imperative form of ""待つ"" (matsu), meaning ""to wait"" or ""to hold on."" It is often used to request patience or a pause in action.",ちょっと、まってください。
いちず,イチズ,ichizu,形状詞-一般,1,earnest,The word 'いちず' refers to being earnest or single-minded in one's pursuits or focus. It describes a state of unwavering dedication or sincere enthusiasm towards something.,彼はいつもいちずに勉強している。
また,マタ,mata,接続詞,1,also,"Used as a conjunction in Japanese to mean 'also,' 'again,' 'moreover,' or 'furthermore,' typically to add information or connect related clauses.",彼は勉強が好きです。また、スポーツも得意です。
あっ,アッ,atsu,感動詞-一般,1,Oh,"An expression of surprise or realization, similar to 'oh' in English. It is often used when someone suddenly remembers something or notices something unexpected.",あっ、忘れ物をした！
あげ,アゲ,age,動詞-非自立可能,1,raise,"A form of the verb 'ageta' (あげた), which means 'to give,' 'to raise,' or 'to lift.' In Japanese, あげ can function as an auxiliary verb used to indicate that an action is performed for someone else's benefit.",手伝ってあげるよ。
ママ,ママ,mama,名詞-普通名詞-一般,1,mom,"The word 'ママ' is a common noun used to refer to a mother or mom, often in a casual or informal manner. It is similar to saying 'mommy' or 'mama' in English, typically used by young children or in a familial context.",私はママと一緒に買い物に行きます。
ゴーグル,ゴーグル,googuru,名詞-普通名詞-一般,1,goggles,"A protective eyewear that typically covers the eyes and sometimes the surrounding areas to prevent particulates, water, or chemicals from striking the eyes. Goggles are often used in sports or work environments.",彼はスキーをするときにゴーグルを着用します。
